STATE,TERMS
ALABAMA,5
ALASKA,1
ARIZONA,3
ARKANSAS,1
CALIFORNIA,3
COLORADO,1
CONNECTICUT,1
DELAWARE,1
DC,1
FLORIDA,1
GEORGIA,2
HAWAII,4
IDAHO,3
ILLINOIS,3
INDIANA,2
IOWA,3
KANSAS,2
KENTUCKY,2
LOUISIANA,1
MAINE,3
MASSACHUSETTS,1
MICHIGAN,1
MARYLAND,4
MINNESOTA,4
MISSISSIPI,1
MISSOURI,2
MONTANA,2
NEBRASKA,5
NEVADA,1
NEW HAMPSHIRE,3
NEW JERSEY,2
NEW MEXICO,4
NEW YORK,4
NORTH CAROLINA,1
NORTH DAKOTA,5
OHIO,1
OKLAHOMA,1
OREGON,2
PENNSYLVANIA,3
RHODE ISLAND,1
SOUTH CAROLINA,1
SOUTH DAKOTA,5
TENNESSEE,3
TEXAS,2
UTAH,1
VERMONT,2
VIRGINIA,3
WASHINGTON,3
WEST VIRGINIA,2
WISCONSIN,1
WYOMING,3
